Student ID,Waiting List,Program,Matlab,R,Github,Excel,SQL,Rstudio,SPSS,ggplot2,shell (terminal / command line),C/C++,Python,Stata,LaTeX,lattice,regular expressions (grep),Sweave/knitr,XML,Web: html css js,dropbox,google drive (formerly docs),R Experience Data Modeling,Gender,Code Editor Used,R Experience Graphics,R Experience Advanced,R Experience Reproducible document,Matlab Experience,Github Experience
42,Yes,Statistics (master),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,RStudio,Confident,Confident,A little,Confident,A little
43,No,IDSE (master),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,he/him,RStudio,A little,A little,A little,Confident,Confident
44,No,IDSE (master),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,he/him,RStudio,A little,A little,A little,Confident,Confident
45,Yes,Statistics (master),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Expert,she/her,RStudio,Expert,Confident,A little,A little,A little
46,No,IDSE (master),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,RStudio,A little,A little,A little,A little,A little
47,No,IDSE (master),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Expert,he/him,RStudio,Confident,Confident,A little,A little,None
48,Yes,Statistics (master),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,she/her,RStudio,A little,A little,None,None,None
49,Yes,Statistics (master),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Expert,he/him,RStudio,Confident,Expert,A little,Expert,Confident
50,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,she/her,RStudio,Confident,Confident,A little,A little,None
51,No,IDSE (master),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,A little,Confident,A little,None
52,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,she/her,I used jupyter last semester,None,None,A little,None,None
53,No,Data Science Certification,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,A little,he/him,vi/vim,A little,A little,None,A little,A little
54,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,vi/vim,A little,A little,A little,A little,A little
55,No,Statistics (master),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,RStudio,A little,None,None,None,None
56,No,IDSE (master),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Confident,she/her,RStudio,A little,A little,Confident,Confident,None
57,Yes,Statistics (master),FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,RStudio,A little,A little,A little,A little,A little
58,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,notepad++,A little,A little,Confident,Confident,A little
59,Yes,Ph.D.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Confident,he/him,RStudio,Confident,A little,None,A little,None
60,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,she/her,RStudio,A little,A little,A little,None,None
61,No,Data Science Certification,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,A little,Confident,A little,A little
62,Yes,Statistics (master),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Expert,he/him,RStudio,Confident,Confident,Confident,Confident,A little
